question,answer
what purpose did seasonal monsoon winds have on trade,enabled European empire expansion into the Americas and trade routes to become established across the Atlantic and Pacific oceans
where did they film high school musical two,
who got the first nobel prize in physics,"Wilhelm Conrad Röntgen, of Germany"
who has the rights to alice in wonderland,
when is the next deadpool movie being released,"May 18, 2018"
what is the lowest recorded temperature on mount vinson,
when is the next tangled the series episode coming out,
where did the idea of fortnite come from,as a cross between Minecraft and Left 4 Dead
texas flip and move how does it work,
global trade during the ming dynasty of china,
which mode is used for short wave broadcast service,MFSK
what are the requirements of passing national senior certificate,
the south west wind blows across nigeria between,arrives in central Nigeria in July
what does hp mean in war and order,hit points or health points
who wrote the first declaration of human rights,Cyrus
my first love was a castle in the sky,
how do i get to warsaw missouri from here,
who was the governor general of india when country became independent,"Louis Mountbatten, 1st Earl Mountbatten of Burma"
who is the owner of reading football club,Dai Yongge
what happens to the rbc in acute hemolytic reaction,rapid destruction of the donor red blood cells by host antibodies
in us national flood insurance is available for which of the following,
where did the first african american air force unit train,"Moton Field, the Tuskegee Army Air Field"
what is the only fruit that does not have seeds,
when is the next scandal episode coming out,"February 1, 2018"
when is the last time the philadelphia won the superbowl,"Super Bowl LII,"
where does the saying like a boss come from,
who lives who dies who tells your atory lyrics,
the primary reason for the creation of federal whistleblower statutes was to,
meaning of lyrics to wade in the water,
who was the first lady nominated member of the rajya sabha,Mary Kom
when was the last time the world series went less than 7 games,
who has played for the most nba teams,
when did hawaii become a state and why,
what is the most current adobe flash player version,28.0.0.137
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky
bond villain has a good head for numbers,
how often does a speed limit sign need to be posted,
how many episodes are there in dragon ball z,291
cast of law & order special victim unit,Christopher Meloni
who designed the garden city of new earswick,The planner Raymond Unwin and the architect Barry Parker
what is the first step in the evolution of the eye,photoreceptor proteins that sense light
where is the tv show the curse of oak island filmed,Oak Island
where is gall bladder situated in human body,beneath the liver
who is the current director of the us mint,David Motl
who was named african footballer of the year 2014,Yaya Touré
what is the main mineral in lithium batteries,lithium
right to property according to the constitution of india is a,constitutional right
who is the president of usa right now,Donald Trump
what is the use of adobe flash cs3 professional,supported modern programming practices and enabled business applications to be developed with Flash
what part of the brain is in the middle cranial fossa,the temporal lobes
where do the greasers live in the outsiders,"Tulsa, Oklahoma"
who died in the plane crash greys anatomy,Lexie
where do they grow hops in the us,the Yakima (Washington) and Willamette (Oregon) valleys
what's the dog's name on tom and jerry,Spike
where was the music video what ifs filmed,"along the Californian coast at The Inn at Newport Ranch, a resort and cattle ranch to the north of San Francisco"
in which regions are most of africa petroleum and natural gas found,Nigeria
in which sea pearl is found in india,the Indian Ocean
panda is a national animal of which country,China
where does kylo ren's name come from,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren."""
how many countries are a part of opec,14
what type of car is a jeep considered,light utility vehicles
where are the coastal plains of india situated,between the Eastern Ghats and the Bay of Bengal
who did deion sanders go in the hall of fame as,Cornerback
what is the name of manchester united stadium,Old Trafford
who played the mother in the black stallion,Teri Garr
who sings the theme song for the proud family,Destiny's Child
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis
who did shakespeare write his play hamlet for,"almost certainly wrote his version of the title role for his fellow actor, Richard Burbage"
who is rose in the fall season 2,a woman who had a sexual relationship with Paul whilst at university
where does the story the great gatsby take place,the fictional town of West Egg on prosperous Long Island
when did the dallas cowboys win their last playoff game,2014
how did rogue get super strength and flight,"Rogue permanently absorbed the superhuman powers and the psyche of Carol Danvers, the original Ms. Marvel"
who may be affected by monetary penalties imposed by the irs,Taxpayers in the United States
who turned out to be the mother on how i met your mother,Tracy McConnell
who took over for batman when his back was broken,Jean-Paul Valley (a.k.a. Azrael)
what is the corporate tax rate in great britain,a flat rate of 20%
what is the meaning of the name sinead,God forgave/God gratified
what network is showing the monday night football game,ESPN
what is the form of mozart symphony no 40,G minor
what was the city of beijing previously known as,Peking
when is the fourth movie of the divergent series coming out,never made
where is republic of doyle supposed to take place,"St. John's, Newfoundland and Labrador"
what is the sentencing reform act of 1984,U.S. federal statute intended to increase consistency in United States federal sentencing
who will take the throne after the queen dies,"Charles, Prince of Wales"
who is the girl in green day 21 guns,Lisa Stelly
what are the zords in the power rangers movie,animal-themed Ninja Zords
who plays the voice of johnny in sing,Taron Egerton
which five year plan was affected by indo pak indo china war,The Third Five-year Plan
what are three different types of hotel properties,Hotel barge
who decides the number of judges in the high court,the President of India
name the process of fusion of an egg with a sperm,fertilization
where is the national championship for college football played,"Mercedes-Benz Stadium in Atlanta, Georgia on January 8, 2018"
the vascular layer of the eye is the,The uvea
the cuban revolt against spain was led by,Máximo Gomez
when was the first documented case of tool mark identification,1835
who has won the mens singles title in the australian open tennis tournament,Roger Federer
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany
when did beds become popular in france and germany,the 12th century
who wrote the song the glory of love,Billy Hill
where does the brain get its energy from,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar),[73] but ketones provide a major alternative source, together with contributions from medium chain fatty acids (caprylic[78] and heptanoic[79] acids), lactate,[80] acetate,[81] and possibly amino acids"
