,question,answer
0,all the motor neurons that control the skeletal muscles are,All the motor neurons that control the skeletal muscles are called alpha motor neurons.
1,where are the coastal plains located in india,"The coastal plains of India are located along the eastern (Bay of Bengal) and western (Arabian Sea) coasts, including regions such as the Ganges Delta, Konkan Coast, Malabar Coast, and Coromandel Coast."
2,where is this years army navy game played,"The 2023 Army-Navy Game will be played at Lincoln Financial Field in Philadelphia, Pennsylvania."
3,who has the talismans in sailor moon s,"In Sailor Moon S, the Talismans are held by the Inner Senshi (Sailor Guardians): 
- Sailor Mercury holds the Mercury Star Locket.
- Sailor Mars holds the Mars Star Locket.
- Sailor Jupiter holds the Jupiter Star Locket.
- Sailor Venus holds the Venus Star Locket."
4,which five year plan was affected by indo pak indo china war,"The Second Five Year Plan (1956-1961) was affected by the Indo-Pakistani War of 1965, the Indo-China War (also known as the Sino-Indian Border Conflict in 1962), and other regional conflicts."
5,what is the 3rd largest state in usa,Alaska
6,what is the first step in the evolution of the eye,"The first step in the evolution of the eye was the development of light-sensitive cells or patches on early organisms, which allowed them to detect changes in light intensity."
7,who won the oscar for best picture in 1976,All the President's Men
8,who dies in season 6 of once upon a time,Archie Hopper (Dr. Whale) dies in Season 6 of Once Upon a Time.
9,it took 130 years for the human population to double from 1 billion to 2 billion,"Yes, it took approximately 130 years for the human population to increase from 1 billion to 2 billion people."
10,how many tornado planes does the uk have,The UK has no tornado planes in its military fleet. The Tornado aircraft were retired from RAF service in 2015.
11,vikram samvat calender is official in which country,Vikram Samvat calendar is officially used in Nepal.
12,where was the deer hunter hunting scene filmed,"The ""Deer Hunter"" hunting scene was filmed in the Tuscan Hills area of Northern California, specifically at a location known as ""Russian River Valley."""
13,what are the parts of a domain name called,"The parts of a domain name are called the ""top-level domain"" (e.g., .com), ""second-level domain"" (e.g., example), and ""third-level domain"" if applicable (e.g., sub.example.com)."
14,where is republic of doyle supposed to take place,"Republic of Doyle is set in Vancouver, British Columbia, Canada."
15,when did beds become popular in france and germany,"Beds became popular in France during the Middle Ages, particularly after the 12th century. In Germany, their use increased from the late medieval period onwards, becoming more common by the 16th century."
16,when does the little couples new season start,The premiere date for The Little Couples' new season has not been announced yet. Check official sources or streaming platforms for updates.
17,the seed of a gymnosperm seed is made in the,"The seed of a gymnosperm seed is made in the ovule, which is typically found within the cone or scale structures of the plant."
18,factories that assemble parts made in other countries,Contract manufacturers or assembly plants that source components from various international suppliers.
19,what is the poorest county in the state of florida,"The poorest county in Florida, based on per capita income, is Madison County."
20,lynyrd skynyrd last of a dying breed album,"Lynyrd Skynyrd's ""Last of a Dying Breed"" is their 12th studio album, released on October 9, 2015."
