,question,answer,contexts,ground_truth
0,Какое мероприятие устраивает у себя дома Анна Павловна Шерер в начале романа,"No answer

The provided context does not mention any specific event hosted by Anna Pavlovna Sherer at the beginning of the described scene or earlier in the narrative. The text focuses on describing the atmosphere and activities during one of her evenings but does not detail the start of her hosting activities.","['В день именин Элен у князя Василья ужинало маленькое общество людей самых близких, как говорила княгиня,\xa0– родные и друзья. Всем этим родным и друзьям дано было чувствовать, что в этот день должна решиться участь именинницы. Гости сидели за ужином. Княгиня Курагина, массивная, когда-то красивая, представительная женщина, сидела на хозяйском месте. По обеим сторонам ее сидели почетнейшие гости – старый генерал, его жена, Анна Павловна Шерер; в конце стола сидели менее пожилые и почетные гости, и там же сидели как домашние Пьер и Элен – рядом', '. В гостиной Анны Павловны, в которой присутствовать он считал за важное повышение по службе, он теперь тотчас же понял свою роль и предоставил Анне Павловне воспользоваться тем интересом, который в нем заключался, внимательно наблюдая каждое лицо и оценивая выгоды и возможности сближения с каждым из них. Он сел на указанное ему место подле красивой Элен и вслушивался в общий разговор.', '. На одном конце стола во главе сидела графиня. Справа Марья Дмитриевна, слева Анна Михайловна и другие гостьи. На другом конце сидел граф, слева гусарский полковник, справа Шиншин и другие гости мужского пола. С одной стороны длинного стола молодежь постарше: Вера рядом с Бергом, Пьер рядом с Борисом; с другой стороны – дети, гувернеры и гувернантки. Граф из-за хрусталя, бутылок и ваз с фруктами поглядывал на жену и ее высокий чепец с голубыми лентами и усердно подливал вина своим соседям, не забывая и себя', '.] как говорила сама Анна Павловна. Кроме этого утонченного выбора общества, вечера Анны Павловны отличались еще тем, что всякий раз на своем вечере Анна Павловна подавала своему обществу какое-нибудь новое, интересное лицо и что нигде, как на этих вечерах, не высказывался так очевидно и твердо градус политического термометра, на котором стояло настроение придворного легитимистского петербургского общества.', '. «Должно быть, это так надобно!» – думала Наташа. Она попеременно оглядывалась то на эти ряды припомаженных голов в партере, то на оголенных женщин в ложах, в особенности на свою соседку Элен, которая, совершенно раздетая, с тихой и спокойной улыбкой, не спуская глаз, смотрела на сцену, ощущая яркий свет, разлитый по всей зале, и теплый, толпою согретый воздух. Наташа мало-помалу начинала приходить в давно не испытанное ею состояние опьянения. Она не помнила, что она и где она и что перед ней делается. Она смотрела и думала, и самые странные мысли неожиданно, без связи, мелькали в ее голове', 'Анна Павловна по-прежнему давала у себя в свободные дни такие вечера, как и прежде, и такие, какие она одна имела дар устроивать,\xa0– вечера, на которых, во-первых, собиралась la cr&#234;me de la v&#233;ritable bonne soci&#233;t&#233;, la fine fleur de l’essence intellectuelle de la soci&#233;t&#233; de P&#233;tersbourg,[391 - сливки настоящего хорошего общества, цвет интеллектуальной эссенции петербургского общества.] как говорила сама Анна Павловна', 'Наташа ехала на первый большой бал в своей жизни. Она в этот день встала в восемь часов утра и целый день находилась в лихорадочной тревоге и деятельности. Все силы ее с самого утра были устремлены на то, чтоб они все: она, мама, Соня – были одеты как нельзя лучше. Соня и графиня поручились вполне ей. На графине должно было быть масака бархатное платье, на них двух белые дымковые платья на розовых шелковых чехлах, с розанами в корсаже. Волоса должны были быть причесаны a la grecque.', '.\xa0– Ред.] вот и все, что мы можем сказать». Вот что указывал политический термометр на вечере Анны Павловны. Когда Борис, который должен был быть поднесен гостям, вошел в гостиную, уже почти все общество было в сборе, и разговор, руководимый Анной Павловной, шел о наших дипломатических сношениях с Австрией и о надежде на союз с нею.', '. У него было блестящее положение в обществе, благодаря интимности с графиней Безуховой, блестящее положение на службе, благодаря покровительству важного лица, доверием которого он вполне пользовался, и у него были зарождающиеся планы женитьбы на одной из самых богатых невест Петербурга, которые очень легко могли осуществиться. Когда Борис вошел в гостиную Ростовых, Наташа была в своей комнате. Узнав о его приезде, она, раскрасневшись, почти вбежала в гостиную, сияя более чем ласковой улыбкой.', '. Начался тот разговор, который затевают ровно настолько, чтобы при первой паузе встать, зашуметь платьями, проговорить: «Je suis bien charm&#233;e; la sant&#233; de maman… et la comtesse Apraksine»,[107 - Очень, очень рада… здоровье мам&#225;… графиня Апраксина.] – и опять, зашумев платьями, пройти в переднюю, надеть шубу или плащ и уехать. Разговор зашел о главной городской новости того времени – о болезни известного богача и красавца екатерининского времени старого графа Безухова и о его незаконном сыне Пьере, который так неприлично вел себя на вечере у Анны Павловны Шерер.']",званый вечер 
1,Как зовут любимого внебрачного сына графа Кирилла Безухова,"No answer

The provided context does not contain information about a favorite illegitimate son of Count Kirill Vladimirovich Bezuhov. The text primarily discusses the death of the old Count Bezuhov, his inheritance, and the new heir, Pierre Bezuhov. There is no mention of an illegitimate son named in the question.","['–\xa0Ах, ужас какой! Чему тут смеяться, граф?\n\nНо дамы невольно смеялись и сами.\n\n–\xa0Насилу спасли этого несчастного,\xa0– продолжала гостья.\xa0– И это сын графа Кирилла Владимировича Безухова так умно забавляется!\xa0– прибавила она.\xa0– А говорили, что так хорошо воспитан и умен. Вот все воспитание заграничное куда довело. Надеюсь, что здесь его никто не примет, несмотря на его богатство. Мне хотели его представить. Я решительно отказалась: у меня дочери.', '. Но эта сладкая дружба, эти столь поэтические и столь чистые отношения были потребностью моего сердца. Но довольно об этом. Главная новость, занимающая всю Москву,\xa0– смерть старого графа Безухова и его наследство. Представьте себе, три княжны получили какую-то малость, князь Василий ничего, а Пьер – наследник всего и, сверх того, признан законным сыном и потому графом Безуховым и владельцем самого огромного состояния в России. Говорят, что князь Василий играл очень гадкую роль во всей этой истории и что он уехал в Петербург очень сконфуженный', '. Но эта сладкая дружба, эти столь поэтические и столь чистые отношения были потребностью моего сердца. Но довольно об этом. Главная новость, занимающая всю Москву,\xa0– смерть старого графа Безухова и его наследство. Представьте себе, три княжны получили какую-то малость, князь Василий ничего, а Пьер – наследник всего и, сверх того, признан законным сыном и потому графом Безуховым и владельцем самого огромного состояния в России. Говорят, что князь Василий играл очень гадкую роль во всей этой истории и что он уехал в Петербург очень сконфуженный', 'Je vous avoue que je comprends tr&#232;s peu toutes ces affaires de legs et de testament; ce que je sais, c’est que depuis que le jeune homme que nous connaissions tous sous le nom de M. Pierre tout court est devenu comte Безухов et possesseur de l’une des plus grandes fortunes de la Russie, je m’amuse fort а observer les changements de ton et des mani&#232;res des mamans accabl&#233;es de filles а marier et des demoiselles elles-m&#234;mes а l’&#233;gard de cet individu qui, par parenth&#232;se, m’a paru toujours &#234;tre un pauvre sire', '. Признаюсь вам, я очень плохо понимаю все эти дела по духовным завещаниям; знаю только, что с тех пор как молодой человек, которого мы все знали под именем просто Пьера, сделался графом Безуховым и владельцем одного из лучших состояний России,\xa0– я забавляюсь наблюдениями над переменой тона маменек, у которых есть дочери-невесты, и самих барышень в отношении к этому господину, который (в скобках будь сказано) всегда казался мне очень ничтожным', '. Признаюсь вам, я очень плохо понимаю все эти дела по духовным завещаниям; знаю только, что с тех пор как молодой человек, которого мы все знали под именем просто Пьера, сделался графом Безуховым и владельцем одного из лучших состояний России,\xa0– я забавляюсь наблюдениями над переменой тона маменек, у которых есть дочери-невесты, и самих барышень в отношении к этому господину, который (в скобках будь сказано) всегда казался мне очень ничтожным', 'Более всех других в это первое время как делами Пьера, так и им самим овладел князь Василий. Со смерти графа Безухова он не выпускал из рук Пьера. Князь Василий имел вид человека, отягченного делами, усталого, измученного, но из сострадания не могущего, наконец, бросить на произвол судьбы и плутов этого беспомощного юношу, сына все-таки его друга, apr&#232;s tout,[289 - в конце концов.] и с таким огромным состоянием', '. Под освещенными ризами киота стояло длинное вольтеровское кресло, и на кресле, обложенном вверху снежно-белыми, не смятыми, видимо, только что перемененными подушками, укрытая до пояса ярко-зеленым одеялом, лежала знакомая Пьеру величественная фигура его отца, графа Безухова, с тою же седою гривой волос, напоминавших льва, над широким лбом и с теми же характерно-благородными крупными морщинами на красивом красно-желтом лице. Он лежал прямо под образами; обе толстые, большие руки его были выпростаны из-под одеяла и лежали на нем', 'La nouvelle de la mort du comte Безухов nous est parvenue avant votre lettre, et mon p&#232;re en a &#233;t&#233; tr&#232;s affect&#233;. Il dit que c’&#233;tait l’avant-dernier repr&#233;sentant du grand si&#232;cle, et qu’а pr&#233;sent c’est son tour; mais qu’il fera son possible pour que son tour vienne le plus tard possible. Que dieu nous garde de ce terrible malheur! Je ne puis partager votre opinion sur Pierre que j’ai connu enfant. Il me paraissait toujours avoir un c&#339;ur excellent, et s’est la qualit&#233; que j’estime le plus dans les gens', 'XII\n\n–\xa0Mon cher Boris,[120 - Боренька.] – сказала княгиня Анна Михайловна сыну, когда карета графини Ростовой, в которой они сидели, проехала по устланной соломой улице и въехала на широкий двор графа Кирилла Владимировича Безухова.\xa0– Mon cher Boris,\xa0– сказала мать, выпрастывая руку из-под старого салопа и робким и ласковым движением кладя ее на руку сына,\xa0– будь ласков, будь внимателен. Граф Кирилл Владимирович все-таки тебе крестный отец, и от него зависит твоя будущая судьба. Помни это, mon cher,[121 - милый дружок.] будь мил, как ты умеешь быть…']",Пьер 
2,На ком князь Василий Курагин надеется женить своего сына Анатоля,Князь Василий Курагин надеется женить своего сына Анатоля на женщине богатой и достойной. Он вероятно планирует сделать это нынче или завтра и ожидает прямого ответа на свой запрос.,"['. Ce n’est ni plus ni moins que le fils du prince Basile, Anatole, qu’on voudrait ranger en le mariant а une personne riche et distingu&#233;e, et c’est sur vous qu’est tomb&#233; le choix des parents. Je ne sais comment vous envisagerez la chose, mais j’ai cru de mon devoir de vous en avertir. On le dit tr&#232;s beau et tr&#232;s mauvais sujet; c’est tout ce que j’ai pu savoir sur son compte.', 'Анатоль искренно любил Долохова за его ум и удальство; Долохов, которому были нужны имя, знатность, связи Анатоля Курагина для приманки в свое игорное общество богатых молодых людей, не давая ему этого чувствовать, пользовался и забавлялся Курагиным. Кроме расчета, по которому ему был нужен Анатоль, самый процесс управления чужою волей был наслаждением, привычкой и потребностью для Долохова.', 'В середине его рассказа, в то время как он говорил: «Ты не можешь представить, какое странное чувство бешенства испытываешь во время атаки», в комнату вошел князь Андрей Болконский, которого ждал Борис. Князь Андрей, любивший покровительственные отношения к молодым людям, польщенный тем, что к нему обращались за протекцией, и хорошо расположенный к Борису, который умел ему понравиться накануне, желал исполнить желание молодого человека. Присланный с бумагами от Кутузова к цесаревичу, он зашел к молодому человеку, надеясь застать его одного', '. Возьмут за связи, за богатство. И разве не живут в девках? Еще счастливее!» Так думал, одеваясь, князь Николай Андреевич, а вместе с тем все откладываемый вопрос требовал немедленного решения. Князь Василий привез своего сына, очевидно, с намерением сделать предложение и, вероятно, нынче или завтра потребует прямого ответа. Имя, положение в свете приличное. «Что ж, я не прочь,\xa0– говорил сам себе князь,\xa0– но пусть он будет стоить ее. Вот это-то мы и посмотрим».', '. Ежели бы князь Василий обдумывал вперед свои планы, он не мог бы иметь такой естественности в обращении и такой простоты и фамильярности в сношениях со всеми людьми, выше и ниже себя поставленными. Что-то влекло его постоянно к людям сильнее или богаче его, и он одарен был редким искусством ловить именно ту минуту, когда надо и можно было пользоваться людьми.', '. Долохов был небогатый человек, без всяких связей. И несмотря на то, что Анатоль проживал десятки тысяч, Долохов жил с ним и успел себя поставить так, что Анатоль и все знавшие их уважали Долохова больше, чем Анатоля. Долохов играл во все игры и почти всегда выигрывал. Сколько бы он ни пил, он никогда не терял ясности головы. И Курагин и Долохов в то время были знаменитостями в мире повес и кутил Петербурга.', 'Спасибо, что скачали книгу в бесплатной электронной библиотеке Royallib.ru: http://royallib.ru\n\nВсе книги автора: http://royallib.ru/author/tolstoy_lev.html\n\nЭта же книга в других форматах: http://royallib.ru/book/tolstoy_lev/voyna_i_mir_kniga_1.html\n\nПриятного чтения!\n\n\n\n\n\nТом первый\n\n\n\nЧасть первая\n\n\n\nI', 'Спасибо, что скачали книгу в бесплатной электронной библиотеке Royallib.ru: http://royallib.ru\n\nВсе книги автора: http://royallib.ru/author/tolstoy_lev.html\n\nЭта же книга в других форматах: http://royallib.ru/book/tolstoy_lev/voyna_i_mir_kniga_1.html\n\nПриятного чтения!\n\n\n\n\n\nТом первый\n\n\n\nЧасть первая\n\n\n\nI', '. Князь Василий охотно поддался этому тону; маленькая княгиня вовлекла в это воспоминание никогда не бывших смешных происшествий и Анатоля, которого она почти не знала. M-lle Bourienne тоже разделила эти общие воспоминания, и даже княжна Марья с удовольствием почувствовала и себя втянутою в это веселое воспоминание.', '. Люди, дававшие направление разговорам, как то: граф Растопчин, князь Юрий Владимирович Долгорукий, Валуев, граф Марков, князь Вяземский, не показывались в клубе, а собирались по домам, в своих интимных кружках, и москвичи, говорившие с чужих голосов (к которым принадлежал и граф Илья Андреич Ростов), оставались на короткое время без определенного суждения о деле войны и без руководителей. Москвичи чувствовали, что что-то нехорошо и что обсуждать эти дурные вести трудно, и потому лучше молчать']",на Марье Болконской 
3,Как зовут жену Андрея Болконского,"No answer

The provided context does not explicitly state the name of Andrei Bolkonsky's wife. The text discusses relationships and interactions but does not mention his marital status or his wife's name.","['–\xa0А Болконский?\xa0– сказала она.\n\n–\xa0Ах, Соня, ах, коли бы ты могла знать, как я счастлива!\xa0– сказала Наташа.\xa0– Ты не знаешь, что такое любовь…\n\n–\xa0Но, Наташа, неужели то все кончено?\n\nНаташа большими, открытыми глазами смотрела на Соню, как будто не понимая ее вопроса.\n\n–\xa0Что ж, ты отказываешь князю Андрею?\xa0– сказала Соня.\n\n–\xa0Ах, ты ничего не понимаешь, ты не говори глупости, ты слушай,\xa0– с мгновенной досадой сказала Наташа.', '–\xa0Нет, милый граф, вы мне позвольте заняться вашими дочерьми. Я хоть теперь здесь ненадолго. И вы тоже. Я постараюсь повеселить ваших. Я еще в Петербурге много слышала о вас и хотела вас узнать,\xa0– сказала она Наташе с своей однообразно красивой улыбкой.\xa0– Я слышала о вас и от моего пажа – Друбецкого,\xa0– вы слышали, он женится,\xa0– и от друга моего мужа – Болконского, князя Андрея Болконского,\xa0– сказала она с особенным ударением, намекая этим на то, что она знала отношения его к Наташе', '–\xa0Ну, что же, что? Ну что ж он сказал? Наташа, как я рада, что ты не сердишься на меня. Говори мне все, всю правду. Что же он сказал?\n\nНаташа задумалась.\n\n–\xa0Ах, Соня, если бы ты знала его так, как я! Он сказал… Он спрашивал меня о том, как я обещала Болконскому. Он обрадовался, что от меня зависит отказать ему.\n\nСоня грустно вздохнула.\n\n–\xa0Но ведь ты не отказала Болконскому?\xa0– сказала она.\n\n–\xa0А может быть, я и отказала! Может быть, с Болконским все кончено. Почему ты думаешь про меня так дурно?\n\n–\xa0Я ничего не думаю, я только не понимаю этого…', 'Обручения не было, и никому не было объявлено о помолвке Болконского с Наташей; на этом настоял князь Андрей. Он говорил, что так как он причиной отсрочки, то он и должен нести всю тяжесть ее. Он говорил, что он навеки связал себя своим словом, но что он не хочет связывать Наташу и предоставляет ей полную свободу. Ежели она через полгода почувствует, что она не любит его, она будет в своем праве, ежели откажет ему. Само собою разумеется, что ни родители, ни Наташа не хотели слышать об этом; но князь Андрей настаивал на своем', 'В передней отворилась дверь подъезда, кто-то спросил: дома ли?\xa0– и послышались чьи-то шаги. Наташа смотрелась в зеркало, но она не видала себя. Она слушала звуки в передней. Когда она увидала себя, лицо ее было бледно. Это был он. Она это верно знала, хотя чуть слышала звук его голоса из затворенных дверей.\n\nНаташа, бледная и испуганная, вбежала в гостиную.\n\n–\xa0Мама, Болконский приехал!\xa0– сказала она.\xa0– Мама, это ужасно, это несносно! Я не хочу… мучиться! Что же мне делать?..', 'В это время в гостиную вошло новое лицо. Новое лицо это был молодой князь Андрей Болконский, муж маленькой княгини. Князь Болконский был небольшого роста, весьма красивый молодой человек с определенными и сухими чертами. Все в его фигуре, начиная от усталого, скучающего взгляда до тихого мерного шага, представляло самую резкую противоположность с его маленькою оживленною женой. Ему, видимо, все бывшие в гостиной не только были знакомы, но уж надоели ему так, что и смотреть на них, и слушать их ему было очень скучно', 'Брат часто удивлялся, глядя на нее. Совсем не было похоже, чтоб она была влюбленная невеста в разлуке с своим женихом. Она была ровна, спокойна, весела совершенно по-прежнему. Николая это удивляло и даже заставляло недоверчиво смотреть на сватовство Болконского. Он не верил в то, что ее судьба уже решена, тем более что он не видал с нею князя Андрея. Ему все казалось, что что-нибудь не то в этом предполагаемом браке.', 'Пьер, приподняв плечи и разинув рот, слушал то, что говорила ему Марья Дмитриевна, не веря своим ушам. Невесте князя Андрея, так сильно любимой, этой прежде милой Наташе Ростовой, променять Болконского на дурака Анатоля, уже женатого (Пьер знал тайну его женитьбы), и так влюбиться в него, чтобы согласиться бежать с ним!\xa0– этого Пьер не мог понять и не мог себе представить.', 'В продолжение скучного дня, во время которого князя Андрея занимали старшие хозяева и почетнейшие из гостей, которыми по случаю приближающихся именин был полон дом старого графа, Болконский, несколько раз взглядывая на Наташу, чему-то смеявшуюся, веселившуюся между другой, молодой половиной общества, все спрашивал себя: «О чем она думает? Чему она так рада?»', '. «Да, это добрые, славные люди,\xa0– думал Болконский,\xa0– разумеется, не понимающие ни на волос того сокровища, которое они имеют в Наташе; но добрые люди, которые составляют наилучший фон для того, чтобы на нем отделялась эта особенно поэтическая, переполненная жизни, прелестная девушка!»']",Лиза 
4,Кто из героев в начале романа приезжает в Россию после 10 лет жизни за границей,"No answer

Explanation: The provided text does not contain any information about a character returning to Russia after 10 years of living abroad. The text focuses on various characters' experiences and thoughts but does not match the specific query asked.","['«Тогда отец назначил мне срок год, и вот уже шесть месяцев, половина, прошло из назначенного срока, и я остаюсь более чем когда-нибудь тверд в своем решении. Ежели бы доктора не задерживали меня здесь на водах, я бы сам был в России, но теперь возвращение мое я должен отложить еще на три месяца. Ты знаешь меня и мои отношения с отцом. Мне ничего от него не нужно, я был и буду всегда независим, но сделать противное его воле, заслужить его гнев, когда, может быть, так недолго осталось ему быть с нами, разрушило бы наполовину мое счастие', 'Вступив снова в эти определенные условия полковой жизни, Ростов испытал радость и успокоение подобные тем, которые чувствует усталый человек, ложась на отдых. Тем отраднее была в эту кампанию эта полковая жизнь Ростову, что он, после проигрыша Долохову (поступка, которого он, несмотря на все утешения родных, не мог простить себе), решился служить не как прежде, а чтобы загладить свою вину, служить хорошо и быть вполне отличным товарищем и офицером, то есть прекрасным человеком, что представлялось столь трудным в миру, а в полку столь возможным.', 'Часто, слушая рассказы странниц, она возбуждалась их простыми, для них механическими, а для нее полными глубокого смысла речами, так что она была несколько раз готова бросить все и бежать из дому. В воображении своем она уже видела себя с Федосьюшкой в грубом рубище, шагающей с палочкой и котомочкой по пыльной дороге, направляя свое странствие без зависти, без любви человеческой, без желаний, от угодников к угодникам, и в конце концов туда, где нет ни печали, ни воздыхания, а вечная радость и блаженство.', '–\xa0А по мне,\xa0– сказал он, обращаясь к Ростову,\xa0– надо просто просить государя о помиловании. Теперь, говорят, награды будут большие, и, верно, простят…\n\n–\xa0Мне просить государя!\xa0– сказал Денисов голосом, которому он хотел придать прежнюю энергию и горячность, но который звучал бесполезной раздражительностью.\xa0– О чем? Ежели бы я был разбойник, я бы просил милости, а то я сужусь за то, что вывожу на чистую воду разбойников. Пускай судят, я никого не боюсь; я честно служил царю и отечеству, и не крал! И меня разжаловать, и… Слушай, я так прямо и пишу им, вот я пишу: «ежели бы я был казнокрад…»', 'Но как влюбленный юноша дрожит и млеет, не смея сказать того, о чем он мечтает ночи, и испуганно оглядывается, ища помощи или возможности отсрочки и бегства, когда наступила желанная минута и он стоит наедине с ней, так и Ростов теперь, достигнув того, чего он желал больше всего на свете, не знал, как подступить к государю, и ему представлялись тысячи соображений, почему это было неудобно, неприлично и невозможно.', '. Еще недавно на дороге, встретившись с французским раненым полковником, Ростов разгорячился, доказывая ему, что не может быть мира между законным государем и преступником Бонапартом. Поэтому Ростова странно поразил в квартире Бориса вид французских офицеров в тех самых мундирах, на которые он привык совсем иначе смотреть из фланкерской цепи. Как только он увидал высунувшегося из двери французского офицера, это чувство войны, враждебности, которое он всегда испытывал при виде неприятеля, вдруг обхватило его. Он остановился на пороге и по-русски спросил, тут ли живет Друбецкой', 'Явившись к полковому командиру, получив назначение в прежний эскадрон, сходивши на дежурство и на фуражировку, войдя во все маленькие интересы полка и почувствовав себя лишенным свободы и закованным в одну узкую неизменную рамку, Ростов испытал то же успокоение, ту же опору и то же сознание того, что он здесь дома, на своем месте, которые он чувствовал и под родительским кровом. Не было этой всей безурядицы вольного света, в котором он не находил себе места и ошибался в выборах; не было Сони, с которой надо было или не надо было объясняться', 'Ростов долго стоял у угла, издалека глядя на пирующих. В уме его происходила мучительная работа, которую он никак не мог довести до конца. В душе поднимались страшные сомненья. То ему вспоминался Денисов с своим изменившимся выражением, с своею покорностью и весь госпиталь с этими оторванными руками и ногами, с этой грязью и болезнями. Ему так живо казалось, что он теперь чувствует этот больничный запах мертвого тела, что он оглядывался, чтобы понять, откуда мог происходить этот запах', '.\xa0– А может быть, и все те мои товарищи, точно так же как и я, бились, искали какой-то новой, своей дороги в жизни и, так же как и я, силой обстановки, общества, породы, той стихийной силой, против которой не властен человек, были приведены туда же, куда и я»,\xa0– говорил он себе в минуты скромности, и, поживши в Москве несколько времени, он не презирал уже, а начинал любить, уважать и жалеть, так же как и себя, своих по судьбе товарищей.', '. Ростов был правдивый молодой человек, он ни за что умышленно не сказал бы неправды. Он начал рассказывать с намерением рассказать все, как оно точно было, но незаметно, невольно и неизбежно для себя перешел в неправду']",Пьер Безухов 
5,Кто из героинь пытается устроить сына в гвардию и просит помощи у князя Василия,"Княгиня Друбецкая пытается устроить своего сына в гвардию и просит помощи у князя Василия. Это видно из следующего текста:

""Пожилая дама носила имя княгини Друбецкой, одной из лучших фамилий России, но она была бедна, давно вышла из света и утратила прежние связи. Она приехала теперь, чтобы выхлопотать определение в гвардию своему единственному сыну. Только затем, чтобы увидеть князя Василия, она назвалась и приехала на вечер к Анне Павловне.""","['Как это бывает в первой молодости и особенно в одиноком положении, он почувствовал беспричинную нежность к этому молодому человеку и обещал себе непременно подружиться с ним.\n\nКнязь Василий провожал княгиню. Княгиня держала платок у глаз, и лицо ее было в слезах.', 'Наташа, боявшаяся, что брат ее наделает что-нибудь ужасное, в волнении ехала недалеко за ним. Увидав, что враги дружелюбно раскланиваются, она подъехала к ним. Илагин еще выше приподнял свой бобровый картуз перед Наташей и, приятно улыбнувшись, сказал, что графиня представляет Диану и по страсти к охоте и по красоте своей, про которую он много слышал.', '–\xa0Бог знает, ch&#232;re amie![119 - мой друг!] Эти богачи и вельможи такие эгоисты. Но я все-таки поеду сейчас к нему с Борисом и прямо скажу, в чем дело. Пускай обо мне думают, что хотят, мне, право, все равно, когда судьба сына зависит от этого.\xa0– Княгиня поднялась.\xa0– Теперь два часа, а в четыре часа вы обедаете. Я успею съездить.\n\nИ с приемами петербургской деловой барыни, умеющей пользоваться временем, Анна Михайловна послала за сыном и вместе с ним вышла в переднюю.', '. Ce n’est ni plus ni moins que le fils du prince Basile, Anatole, qu’on voudrait ranger en le mariant а une personne riche et distingu&#233;e, et c’est sur vous qu’est tomb&#233; le choix des parents. Je ne sais comment vous envisagerez la chose, mais j’ai cru de mon devoir de vous en avertir. On le dit tr&#232;s beau et tr&#232;s mauvais sujet; c’est tout ce que j’ai pu savoir sur son compte.', '. Анна Михайловна старательно смотрела в глаза больному и, стараясь угадать, чего было нужно ему, указывала то на Пьера, то на питье, то шепотом вопросительно называла князя Василия, то указывала на одеяло. Глаза и лицо больного выказывали нетерпение. Он сделал усилие, чтобы взглянуть на слугу, который безотходно стоял у изголовья постели.', '. Как странно, необычайно, радостно ей было, что сын ее – тот сын, который чуть заметно крошечными членами шевелился в ней самой двадцать лет тому назад, тот сын, за которого она ссорилась с баловником-графом, тот сын, который выучился говорить прежде: «груша», а потом «баба», что этот сын теперь там, в чужой земле, в чужой среде, мужественный воин, один, без помощи и руководства, делает там какое-то свое мужское дело. Весь всемирный вековой опыт, указывающий на то, что дети незаметным путем от колыбели делаются мужами, не существовал для графини', '–\xa0Как понимать!\xa0– сердито крикнул отец.\xa0– Князь Василий находит тебя по своему вкусу для невестки и делает тебе пропозицию за своего воспитанника. Вот как понимать. Как понимать?! А я у тебя спрашиваю.\n\n–\xa0Я не знаю, как вы, mon p&#232;re,\xa0– шепотом проговорила княжна.\n\n–\xa0Я? я? что ж я-то? меня-то оставьте в стороне. Не я пойду замуж. Что вы? вот это желательно знать.', '. Офицер, заведовавший обозом, бил солдата, сидевшего кучером в этой колясочке, за то, что он хотел объехать других, и плеть попадала по фартуку экипажа. Женщина пронзительно кричала. Увидав князя Андрея, она высунулась из-под фартука, и, махая худыми руками, выскочившими из-под коврового платка, кричала:', '–\xa0Mon cher,\xa0– сказала Анна Михайловна сыну,\xa0– je sais de bonne source, que le prince Basile envoie son fils а Moscou pour lui faire &#233;pouser Julie.[494 - Мой милый, я знаю из верных источников, что князь Василий присылает сына затем, чтобы женить его на Жюли.] Я так люблю Жюли, что мне жалко бы было ее. Как ты думаешь, мой друг?\xa0– сказала Анна Михайловна.', 'Пожилая дама носила имя княгини Друбецкой, одной из лучших фамилий России, но она была бедна, давно вышла из света и утратила прежние связи. Она приехала теперь, чтобы выхлопотать определение в гвардию своему единственному сыну. Только затем, чтобы увидеть князя Василия, она назвалась и приехала на вечер к Анне Павловне, только затем она слушала историю виконта. Она испугалась слов князя Василия; когда-то красивое лицо ее выразило озлобление, но это продолжалось только минуту. Она опять улыбнулась и крепче схватилась за руку князя Василия.']",Анна Друбецкая 
