,question,answer,contexts,ground_truth
0,all the motor neurons that control the skeletal muscles are,"All the motor neurons that control the skeletal muscles are somatic motor neurons originating in the central nervous system, projecting their axons to skeletal muscles. These include alpha, beta, and gamma efferent neurons. Alpha motor neurons specifically innervate extrafusal muscle fibers. (Source: Context provided)","['Motor systems are areas of the brain that are involved in initiating body movements, that is, in activating muscles. Except for the muscles that control the eye, which are driven by nuclei in the midbrain, all the voluntary muscles in the body are directly innervated by motor neurons in the spinal cord and hindbrain.[7] Spinal motor neurons are controlled both by neural circuits intrinsic to the spinal cord, and by inputs that descend from the brain. The intrinsic spinal circuits implement many reflex responses, and contain pattern generators for rhythmic movements such as walking or swimming', 'In consequence:\nthe motor command of skeletal and branchial muscles is monosynaptic (involving only one motor neuron, respectively, somatic and branchial, which synapses onto the muscle).\nthe command of visceral muscles is disynaptic (involving two neurons: the general visceral motor neuron located in the CNS, which synapses onto a ganglionic neuron, located in the PNS, which synapses onto the muscle).', 'A motor neuron (or motoneuron) is a neuron whose cell body is located in the motor cortex, brainstem or the spinal cord, and whose axon (fiber) projects to the spinal cord or outside of the spinal cord to directly or indirectly control effector organs, mainly muscles and glands.[1] There are two types of motor neuron – upper motor neurons and lower motor neurons. Axons from upper motor neurons synapse onto interneurons in the spinal cord and occasionally directly onto lower motor neurons', 'Somatic motor neurons[edit]\nSomatic motor neurons originate in the central nervous system, project their axons to skeletal muscles [14] (such as the muscles of the limbs, abdominal, and intercostal muscles), which are involved in locomotion. The three types of these neurons are the alpha efferent neurons, beta efferent neurons, and gamma efferent neurons. They are called efferent to indicate the flow of information from the central nervous system (CNS) to the periphery.', 'Alpha motor neurons innervate extrafusal muscle fibers, which are the main force-generating component of a muscle. Their cell bodies are in the ventral horn of the spinal cord and they are sometimes called ventral horn cells. A single motor neuron may synapse with 150 muscle fibers on average.[15] The motor neuron and all of the muscle fibers to which it connects is a motor unit. Motor units are split up into 3 categories:[16] Main Article: Motor Unit', 'Present entire length\nAxial muscles\nHypaxial Motor Column\nThoracic Region\nBody wall muscles\nPreganglionic Motor Column\nThoracic Region\nSympathetic ganglion\nLaterl Motor Column\nBrachial and Lumbar region (both regions are further divided into medial and lateral domains)\nMuscles of the limbs\nPhrenic Motor Coulmn\nCervical Region\nDiaphragm[9]\nAnatomy and physiology[edit]\nSpinal cord tracts\nLocation of lower motor neurons in spinal cord\nUpper motor neurons[edit]']",Somatic
1,where are the coastal plains located in india,"The Eastern Coastal Plains in India lie between the Eastern Ghats and the Bay of Bengal, stretching from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha.","['The Eastern Coastal Plains refers to a wide stretch of landmass of India, lying between the Eastern Ghats and the Bay of Bengal. It is wider and leveled than the western coastal plains and stretches from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha. Chilka Lake is a brackish water lake along the eastern coastal plain. It lies in the state of Odisha and stretches to the south of the Mahanadi Delta.[1]', 'The Eastern Coastal Plains refers to a wide stretch of landmass of India, lying between the Eastern Ghats and the Bay of Bengal. It is wider and leveled than the western coastal plains and stretches from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha. Chilka Lake is a brackish water lake along the eastern coastal plain. It lies in the state of Odisha and stretches to the south of the Mahanadi Delta.[1]', 'It is locally known as Utkal Plains in the Northern part between Cossye and Rushikulya Rivers, Northern Circars in the Central part between Rushikulya and Krishna Rivers and, as Coromandel Coast in the Southern part from the south of river Krishna till the Southern tip of Mainland India at Cape Comorin where it merges with the Western Coastal Plains.\nSee also[edit]\nWestern Coastal Plains\nReferences[edit]\nJump up ^ Sr.Bimcy; Sr.Sisily; Charlotte. Bibliographic information. Scholar Publishing House. pp.\xa020–21. ISBN\xa08171725163.\xa0\n[hide]\nv\nt\ne\nGeography of India\nClimate\nClimate\nClimatic regions', 'It is locally known as Utkal Plains in the Northern part between Cossye and Rushikulya Rivers, Northern Circars in the Central part between Rushikulya and Krishna Rivers and, as Coromandel Coast in the Southern part from the south of river Krishna till the Southern tip of Mainland India at Cape Comorin where it merges with the Western Coastal Plains.\nSee also[edit]\nWestern Coastal Plains\nReferences[edit]\nJump up ^ Sr.Bimcy; Sr.Sisily; Charlotte. Bibliographic information. Scholar Publishing House. pp.\xa020–21. ISBN\xa08171725163.\xa0\n[hide]\nv\nt\ne\nGeography of India\nClimate\nClimate\nClimatic regions', 'Eastern coastal plains - Wikipedia\n \nEastern coastal plains \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nThis article relies largely or entirely on a single source. Relevant discussion may be found on the talk page. Please help improve this article by introducing citations to additional sources. (May 2015)\nView of Fields at Biccavolu, Eastern coastal plains, Andhra Pradesh', 'Eastern coastal plains - Wikipedia\n \nEastern coastal plains \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nThis article relies largely or entirely on a single source. Relevant discussion may be found on the talk page. Please help improve this article by introducing citations to additional sources. (May 2015)\nView of Fields at Biccavolu, Eastern coastal plains, Andhra Pradesh']",between the Eastern Ghats and the Bay of Bengal
2,where is this years army navy game played,"This year's Army-Navy game is typically played in Philadelphia, which is roughly equidistant from the two academies.","['Army and Navy first met on the field on November 29, 1890. They played 30 times between that date and November 26, 1927. The series has been renewed annually since 1930. The game has been held at several locations throughout its history, including Baltimore and New York City, but has most frequently been played in Philadelphia, roughly equidistant from the two academies', ""The game has been held in multiple locations, but outside the 1926 game in Chicago and 1983 game in Pasadena, California, it has been played in the Northeast megalopolis, most frequently in Philadelphia, followed by the New York City area and the Baltimore–Washington area. The series has been marked by several periods of domination by one team or the other, with Navy's 14-game winning streak from 2002 through 2015 being the longest for either side. Through the 2017 meeting, Navy leads the series 60–51–7.\nContents\n\xa0[hide]\xa0\n1 Series history\n2 Venues\n2.1 Future venues""]",Lincoln Financial Field in Philadelphia
3,who has the talismans in sailor moon s,"In ""Sailor Moon S,"" Haruka and Michiru hold two of the Talismans within their own hearts. Usagi holds the third Talisman, represented by her Pure Heart Crystal and later her Holy Grail.","['Noriyo Sasaki\nSukehiro Tomita\nKenichi Tajiri\nIkuko Itō\nApril 30, 1994\nJune 16, 2000\nUsagi\'s friend, Unazuki, is attacked by a Daimon and has her pure heart crystal stolen. But when Sailor Moon tries to take the crystal back to Unazuki, Uranus and Neptune attempt to steal it in order to claim the Talisman.\xa0\n95\n""Blinded By Love\'s Light""\n""Let Moon Help With Your Love Problems""\n""Koi no otasuke wa Mūn ni omakase"" (恋のおたすけはムーンにおまかせ)\xa0\nHarume Kosaka\nShigeru Yanagawa\nYoshiyuki Shikano\nMari Tominaga\nMay 7, 1994\nJune 19, 2000', ""July 10, 2000\nFaced with losing her position at Witches 5, Eudial creates a computer program to find the true owners of the three Talismans, and learns that Haruka and Michiru are the ones who hold two of the Talismans within their own hearts! They take away Usagi's brooch, and follow Eudial onto a lonely island. However, the invitation turns out to be a trick, and Michiru’s pure heart is taken, which turns into the mystical Deep Aqua Mirror. Haruka, in order to release her own talisman, shoots herself with Eudial's gun. Her pure heart transforms into the mystical Space Sword.\xa0\n111"", '111\n""The Purity Chalice""\n""The Holy Grail\'s Mystical Power: Moon\'s Double Transformation""\n""Seihai no shinpi na chikara! Mūn nidan henshin"" (聖杯の神秘な力!ムーン二段変身)\xa0\nHiroki Shibata\nSukehiro Tomita\nKazuyuki Hashimoto\nIkuko Itō\nOctober 22, 1994\nJuly 11, 2000\nSailor Pluto appears and reawakens Sailors Uranus and Neptune, and the three talismans resonate with each other (the third and last being Sailor Pluto\'s Garnet Orb). The Holy Grail appears, and Sailor Moon grabs it and evolves into Super Sailor Moon, who drives Eudial out. Mimete then kills Eudial by sabotaging her car with snails.\xa0\n112', 'Takuya Igarashi\nYoji Enokido\nKazuyuki Hashimoto\nIkuko Itō\nFebruary 4, 1995\nJuly 28, 2000\nMistress 9 uses all remaining Daimon eggs to create a powerful energized shield of evil minions around Infinity Academy. Sailor Moon is abducted, as she is the holder of the Holy Grail. After witnessing Sailor Pluto ultimately sacrificing herself to save them by using her forbidden ability to stop time, Sailor Uranus and Sailor Neptune destroy Germatoid, the Daimon possessing Professor Souichi Tomoe with their talismans, the Deep Aqua Mirror and the Space Sword.\xa0\n125\n""Darkness, My Old Friend""']",Haruka and Michiru
4,which five year plan was affected by indo pak indo china war,The Third Five-Year Plan (1961–1966) was affected by the Indo-Pakistani War and the Sino-Indian War.,"['Third Plan (1961–1966)[edit]\nThe Third Five-year Plan, stressed agriculture and improvement in the production of wheat, but the brief Sino-Indian War of 1962 exposed weaknesses in the economy and shifted the focus towards the defence industry and the Indian Army. In 1965–1966, India fought a War with Pakistan. There was also a severe drought in 1965. The war led to inflation and the priority was shifted to price stabilisation. The construction of dams continued. Many cement and fertilizer plants were also built. Punjab began producing an abundance of wheat.']",The Third Five-year Plan
5,what is the 3rd largest state in usa,The third largest state in the USA by area is Alaska.,"['States\nAlabama\nAlaska\nArizona\nArkansas\nCalifornia\nColorado\nConnecticut\nDelaware\nFlorida\nGeorgia\nHawaii\nIdaho\nIllinois\nIndiana\nIowa\nKansas\nKentucky\nLouisiana\nMaine\nMaryland\nMassachusetts\nMichigan\nMinnesota\nMississippi\nMissouri\nMontana\nNebraska\nNevada\nNew Hampshire\nNew Jersey\nNew Mexico\nNew York\nNorth Carolina\nNorth Dakota\nOhio\nOklahoma\nOregon\nPennsylvania\nRhode Island\nSouth Carolina\nSouth Dakota\nTennessee\nTexas\nUtah\nVermont\nVirginia\nWashington\nWest Virginia\nWisconsin\nWyoming\nFederal district\nWashington, D.C.\nInsular areas\nAmerican Samoa\nGuam\nNorthern Mariana Islands\nPuerto Rico']",Alaska
6,what is the first step in the evolution of the eye,"The first step in the evolution of the eye was the formation of an optic nerve coated with pigment, without any other mechanism. This is supported by the ""Light Switch"" theory of Andrew Parker and the work of biologists like D.E. Nilsson and G.C. Young. [Wikipedia: Evolution of the eye]","['Evolution of the eye - Wikipedia\n \nEvolution of the eye \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nMajor stages in the evolution of the eye in vertebrates.', 'Rate of evolution[edit]\nThe first fossils of eyes found to date are from the lower Cambrian period (about 540\xa0million years ago).[10] The lower Cambrian had a burst of apparently rapid evolution, called the ""Cambrian explosion"". One of the many hypotheses for ""causes"" of the Cambrian explosion is the ""Light Switch"" theory of Andrew Parker: It holds that the evolution of eyes started an arms race that accelerated evolution.[11] Before the Cambrian explosion, animals may have sensed light, but did not use it for fast locomotion or navigation by vision.', 'He suggested a stepwise evolution from ""an optic nerve merely coated with pigment, and without any other mechanism"" to ""a moderately high stage of perfection"", and gave examples of existing intermediate steps.[5] Darwin\'s suggestions were soon shown to be correct, and current research is investigating the genetic mechanisms underlying eye development and evolution.[6]', 'The evolution of the eye is attractive to study, because the eye distinctively exemplifies an analogous organ found in many animal forms. Complex, image-forming eyes have evolved independently several times.[1] The evolutionary geneticist Walter Gering holds a different opinion. According his theory, the genes engaged with photoreceptor cells (so called Pax 6 genes) appeared probably at once in the life history, at a very early stage of the evolution', ""Biologist D.E. Nilsson has independently theorized about four general stages in the evolution of a vertebrate eye from a patch of photoreceptors.[7] Nilsson and S. Pelger estimated in a classical paper how many generations are needed to evolve a complex eye in vertebrates.[8] Another researcher, G.C. Young, has used the fossil record to infer evolutionary conclusions, based on the structure of eye orbits and openings in fossilized skulls for blood vessels and nerves to go through.[9] All this adds to the growing amount of evidence that supports Darwin's theory.\nRate of evolution[edit]"", 'Complex eyes appeared first within the few million years of the Cambrian explosion. From before the Cambrian, no evidence of eyes has survived, but diverse eyes are known from the Burgess shale of the Middle Cambrian, and from the slightly older Emu Bay Shale.[4] Eyes are adapted to the various requirements of their owners. They vary in their visual acuity, the range of wavelengths they can detect, their sensitivity in low light, their ability to detect motion or to resolve objects, and whether they can discriminate colours.\nContents\n\xa0[hide]\xa0\n1 History of research\n2 Rate of evolution']",photoreceptor proteins that sense light
7,who won the oscar for best picture in 1976,Rocky won the Oscar for Best Picture in 1976.,"[""49th Academy Awards - Wikipedia\n \n49th Academy Awards \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\n49th Academy Awards\nDate\nMarch 28, 1977\nSite\nDorothy Chandler Pavilion\nLos Angeles, California, U.S.\nHosted by\nRichard Pryor\nEllen Burstyn\nJane Fonda\nWarren Beatty\nProduced by\nWilliam Friedkin\nDirected by\nMarty Pasetta\nHighlights\nBest Picture\nRocky\nMost awards\nAll the President's Men and Network (4)\nMost nominations\nNetwork and Rocky (10)\nTV in the United States\nNetwork\nABC\nDuration\n3 hours, 38 minutes\n←\xa048th\nAcademy Awards\n50th\xa0→""]",Rocky
8,who dies in season 6 of once upon a time,Emma Swan (played by Jennifer Morrison) and Ruby/Lana Lockhart (played by Rebecca Mader) die in Season 6 of Once Upon a Time.,"['. all those questions have already been dealt with. The audience does not have to fear [anything feeling] incomplete.""[95] On May 8, Morrison confirmed that she had declined an offer to remain on the show and that the sixth season would be her last, signaling the end of Emma\'s time on the show as the main protagonist.[4] On May 11, Rebecca Mader announced that she would also be leaving the show at the end of the season, citing creative decisions beyond her control']","Edmond Dantes, The Count of Monte Cristo"
9,it took 130 years for the human population to double from 1 billion to 2 billion,"Yes, it took approximately 123 years for the human population to double from 1 billion to 2 billion, as indicated by the source.","['Years for world population to double[edit]\nAccording to linear interpolation and extrapolation of UNDESA population estimates, the world population has doubled, or will double, in the years listed in the tables below (with two different starting points). During the 2nd millennium, each doubling took roughly half as long as the previous doubling, fitting the hyperbolic growth model mentioned above. However, after 2024, it is unlikely that there will be another doubling of the global population in the 21st century.[124]', 'Historic chart showing the periods of time the world population has taken to double, from 1700 to 2000\nStarting at 500 million\nPopulation\n(in billions)\n0.5\n1\n2\n4\n8\nYear\n1500\n1804\n1927\n1974\n2024\nYears elapsed\n304\n123\n47\n50\nStarting at 375 million\nPopulation\n(in billions)\n0.375\n0.75\n1.5\n3\n6\nYear\n1171\n1715\n1881\n1960\n1999\nYears elapsed\n544\n166\n79\n39\nOverpopulation[edit]\nMain articles: Human overpopulation and Malthusian catastrophe\nPredictions of scarcity[edit]', '2042\nYears elapsed\n––\n123\n33\n14\n13\n12\n12\n13\n18\nIt is estimated that the world population reached one billion for the first time in 1804. It was another 123 years before it reached two billion in 1927, but it took only 33 years to reach three billion in 1960.[57] Thereafter, the global population reached four billion in 1974, five billion in 1987, six billion in 1999 and, according to the United States Census Bureau, seven billion in March 2012.[58] The United Nations, however, estimated that the world population reached seven billion in October 2011.[59][60][61]']",No answer
