,question,answer
0,all the motor neurons that control the skeletal muscles are,Somatic
1,where are the coastal plains located in india,between the Eastern Ghats and the Bay of Bengal
2,where is this years army navy game played,Lincoln Financial Field in Philadelphia
3,who has the talismans in sailor moon s,Haruka and Michiru
4,which five year plan was affected by indo pak indo china war,The Third Five-year Plan
5,what is the 3rd largest state in usa,Alaska
6,what is the first step in the evolution of the eye,photoreceptor proteins that sense light
7,who won the oscar for best picture in 1976,Rocky
8,who dies in season 6 of once upon a time,"Edmond Dantes, The Count of Monte Cristo"
9,it took 130 years for the human population to double from 1 billion to 2 billion,
10,how many tornado planes does the uk have,138
11,vikram samvat calender is official in which country,Nepal
12,where was the deer hunter hunting scene filmed,Mount Baker-Snoqualmie National Forest
13,what are the parts of a domain name called,top-level domain
14,where is republic of doyle supposed to take place,"St. John's, Newfoundland and Labrador"
15,when did beds become popular in france and germany,the 12th century
16,when does the little couples new season start,"September 19, 2017"
17,the seed of a gymnosperm seed is made in the,either on the surface of scales or leaves
18,factories that assemble parts made in other countries,special economic zones
19,what is the poorest county in the state of florida,Union
20,lynyrd skynyrd last of a dying breed album,
21,who did deion sanders go in the hall of fame as,Cornerback
22,who played daisy duke in the new dukes of hazzard,Jessica Simpson
23,what is the most current adobe flash player version,28.0.0.137
24,how much energy does coal produce in the us,16.5 quadrillion BTUs
25,who plays elsa's aunt in once upon a time,Elizabeth Mitchell
26,who had the longest tenure as moderator on meet the press,Tim Russert
27,how long is the famous suspension bridge in san francisco and what is it called,"8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)"
28,where is the national championship for college football played,"Mercedes-Benz Stadium in Atlanta, Georgia on January 8, 2018"
29,meaning of lyrics to wade in the water,
30,how often does a speed limit sign need to be posted,
31,when are centrally acting skeletal muscle relaxants used,to alleviate musculoskeletal pain and spasms and to reduce spasticity in a variety of neurological conditions
32,when does bloom find out who she is,"Addio Magix!""  / ""The Font of Dragon Fire"
33,who wrote song what a friend we have in jesus,Joseph M. Scriven
34,who decides the number of judges in the high court,the President of India
35,in which sea pearl is found in india,the Indian Ocean
36,what is the payout for the texas bowl,US$3 million per team
37,what are the top five wine producing states,California
38,where is jj's husband on criminal minds,
39,who plays sheila carter on the bold and the beautiful,Kimberlin Brown
40,where does the saying like a boss come from,
41,which site of an enzyme is called allosteric site,regulatory site
42,where are unipolar neurons found in spinal cord,the distal dorsal root
43,what is the point of a menstrual cup,to collect menstrual flow
44,who has scored more goals in the premier league,Alan Shearer
45,who played mark on the show the rifleman,John Ernest Crawford
46,when did hawaii become a state and why,
47,who is the actor that plays ducky on ncis,David McCallum
48,what was the purpose of a revival meeting during the second great awakening,evangelizing
49,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis
50,disney characters for every letter of the alphabet,
51,names of supreme court judges in sri lanka,
52,disease of the light sensitive innermost layer of the eyeball,
53,who wrote the poem the woods are lovely dark and deep,
54,who said if a tree falls in the woods and nobody hears it,Charles Riborg Mann
55,who wants a heart in the wizard of oz,the Tin Woodman
56,who is the guy who walked across the twin towers,Philippe Petit
57,how do you think south africa compared with singapore,
58,when is the last time the vikings were in the nfc championship,1976
59,who said the poison is in the dose,Paracelsus
60,what does the transfer case control module do,transfers power from the transmission to the front and rear axles by means of drive shafts
61,where do they grow hops in the us,the Yakima (Washington) and Willamette (Oregon) valleys
62,where does kevins family go in home alone 2,Florida
63,how many words are in national anthem of pakistan,
64,when was the first australian prime minister elected,Sir Edmund Barton
65,who sings the theme song for the proud family,Destiny's Child
66,what is the short story the gift of the magi about,a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
67,cast of law & order special victim unit,Christopher Meloni
68,who wrote the book the origin of species,Charles Darwin
69,when is the next deadpool movie being released,"May 18, 2018"
70,who started the state of the union address,Woodrow Wilson
71,who is the owner of reading football club,Dai Yongge
72,who is the head a in pretty little liars,CeCe Drake
73,how many countries are a part of opec,14
74,who sings the song you'll never find another love like mine,Lou Rawls
75,where is gall bladder situated in human body,beneath the liver
76,ed edd n eddy double d boy or girl,"three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with Ed), and Eddy—collectively known as ""the Eds"""
77,how long have we been celebrating pi day,2009
78,with which regions does australia have historical ties,
79,who sang rip it up and start again,Orange Juice
80,what is the first basic process in the light reaction of photosynthesis,one molecule of the pigment chlorophyll absorbs one photon and loses one electron
81,who sings theme tune to orange is the new black,Spektor
82,where no man has gone before episode cast,
83,who did the astros play last time they were in the world series,Los Angeles Dodgers
84,where do the royalties for winnie the pooh go,"Slesinger, Inc."
85,which mode is used for short wave broadcast service,MFSK
86,what is the significance of the sahara desert,the largest hot desert and the third largest desert in the world after Antarctica and the Arctic
87,where is most vascular tissue found in plants,
88,who plays the voice of johnny in sing,Taron Egerton
89,when will the flash season 4 episode 17 come out,"April 10, 2018"
90,who was the killer in the movie i know what you did last summer,Ben Willis
91,when was the last time the world series went less than 7 games,
92,which is the lion's mane jellyfish's species within its genus,C. capillata
93,who starred in the movie natural born killers,Woody Harrelson
94,what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake
95,what is the longest pier in the uk,Southend Pier
96,what is the share of agriculture in indian economy,17.32%
97,when did they stop making pull tabs on beer cans,1970s
98,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky
99,who sings too much time on my hands lyrics,Tommy Shaw
100,what is the most common blood type in sweden,AB+
101,who sang a whiter shade of pale first,Procol Harum
102,in a microsoft access table what does a row of information represent,"a single, implicitly structured data item in a table"
103,when did toyota first come to the united states,1957
