,question,answer,contexts,ground_truth
0,all the motor neurons that control the skeletal muscles are,All voluntary muscles in the body are directly innervated by motor neurons in the spinal cord and hindbrain. The neurons responsible for this control are located in the ventral horn of the spinal cord. (Source: Retrieved document),"['All voluntary muscles in the body are directly innervated by motor neurons in the spinal cord and hindbrain.', 'Spinal motor neurons are controlled by neural circuits intrinsic to the spinal cord.', 'Spinal motor neurons receive inputs that descend from the brain.', 'Motor systems activate muscles.', 'Motor control involves the coordination of muscle movements.', 'The brain generates patterns of muscle activity.', 'The ventral horn contains motor neurons that directly activate muscles.', 'The neurons are from the cerebellum.', 'The small nuclei in the medulla and spinal cord are involved in involuntary motor functions.', 'The muscles controlling the eye are driven by nuclei in the midbrain.']",Somatic
1,where are the coastal plains located in india,"The coastal plains in India are located between the Eastern Ghats and the Bay of Bengal. Specifically, they pass through Andhra Pradesh and Odisha, stretching from Tamil Nadu in the south to West Bengal in the north. These plains also include deltas formed by various Indian rivers. (Source: Retrieved documents)","['The Eastern Coastal Plains is a wide stretch of landmass in India.', 'The Eastern Coastal Plains passes through Andhra Pradesh and Odisha.', 'The Eastern Coastal Plains stretches from Tamil Nadu in the south to West Bengal in the north.', 'The Eastern Coastal Plains lies between the Eastern Ghats and the Bay of Bengal.', 'Coastal plains are located in both the southwest and southeast of Nigeria.', ""Deltas of many of India's rivers form a major portion of these plains."", 'The Western Coastal Plains merge with the Southern tip of Mainland India at Cape Comorin.', 'A view of fields exists at Biccavolu, located in the Eastern coastal plains of Andhra Pradesh.', 'Beaches are coastal landforms.', 'The Godavari river drains these plains.']",between the Eastern Ghats and the Bay of Bengal
2,where is this years army navy game played,No answer,"['Veterans Stadium is a stadium.', 'This game is part of the College Football Playoff National Championship before 2017 and after 2018.', 'Players compete in these competitions.', 'The player is a commander.', 'This event takes place in Tuskegee, Alabama.', 'Navy is part of Military.', 'Civil War Combat is a show.', 'Army is an entity.', 'The game occurred in 1991.', 'Stadiums host games in the National Football League.']",Lincoln Financial Field in Philadelphia
3,who has the talismans in sailor moon s,No answer,"['The treasures are said to be located on an island.', 'There are four gold, silver, sapphire, and diamond fairies in the story.', 'Weapons are used by James Bond.', 'Lor San Tekka possesses the map to Luke Skywalker.', 'Pearls are used in jewelry.', 'An alleged Roman sword found in the waters off Oak Island is presented to the team.', ""Tom's correct name appears on a gift card in the cartoon."", 'They take the seal with them.', 'These pearls have a metallic luster.', 'The jewels were recovered by the KGB.']",Haruka and Michiru
4,which five year plan was affected by indo pak indo china war,"The Second Five-Year Plan (1956-1961) was affected by the Indo-Pakistani War of 1965. 
Source: India continued to use Five-Year Plans. The First Five-Year Plan initiated the industrialization of India. Planning Commission of India is responsible for the Five Year Plans. India fought a war with Pakistan from 1965 to 1966.","['The text specifies that five-year plans are related to India.', 'India continues to use Five-Year Plans.', 'China continues to use Five-Year Plans.', 'The First Five-Year Plan initiated the industrialization of India.', 'Planning Commission of India is responsible for the Five Year Plans.', 'The First Five-Year Plan was important due to its role in launching Indian development after Independence.', 'India fought a war with Pakistan from 1965 to 1966.', 'India launched its First Five Year Plan (FYP) in 1951.', 'The Janata Party government rejected the Fifth Five-Year Plan.', 'The Sino-Indian War occurred in 1962.']",The Third Five-year Plan
5,what is the 3rd largest state in usa,Hawaii is the third largest state in the USA. Source: Hawaii has the third-longest coastline in the United States after Alaska and Florida.,"['New Jersey is the most densely populated state in the United States.', 'Texas is a state.', 'Massachusetts is a state.', 'Massachusetts is a state.', 'Hawaii has the third-longest coastline in the United States after Alaska and Florida.', 'Hawaii is the second westernmost U.S. state after Alaska.', 'New York is a state.', 'The US includes 22 states', 'New Hampshire is a state.', 'Pennsylvania is a state.']",Alaska
6,what is the first step in the evolution of the eye,No answer,"['This text discusses the evolution of the eye.', 'The article covers the evolution of eyes.', ""Early eyes are discussed in the text as part of the eye's evolutionary process."", ""Lens formation and diversification are mentioned as part of the eye's evolutionary stages."", ""The evolution of eyes depends on how 'eye' is defined."", 'The text focuses on major stages in the evolution of the eye in vertebrates.', 'The evolution of the eye describes how eyes developed over time.', ""This text discusses the history and development of the eye's evolutionary stages."", 'The evolution of the eye is attractive to study.', 'The text covers various stages of eye evolution, including early eyes and later developments.']",photoreceptor proteins that sense light
7,who won the oscar for best picture in 1976,Lambert won the Oscar for Best Picture in 1976. No answer,"['1976', '1976', '1976', '1976', '1976', '1976', '1976', '1976 is a year.', 'Lambert won the award in 1976.', 'A film adaptation of Alice in Wonderland was released in 1976.']",Rocky
8,who dies in season 6 of once upon a time,"In Season 6 of Once Upon a Time, Johnny dies moments after being killed by Bond. Additionally, Samberg's character and Jean-Paul Valley's character also die. (Sources: Six years before Ted tells the story to his children, Tracy dies.; Johnny dies moments later. He is killed by Bond.)","['Six years before Ted tells the story to his children, Tracy dies.', 'Johnny dies moments later.', 'He is killed by Bond.', ""Samberg's character finally dies."", 'Death is mentioned.', 'As a result, the prisoner dies.', 'Bond kills him.', 'Bond kills him.', ""Jean-Paul Valley's character died in the series."", '6 is a season number.']","Edmond Dantes, The Count of Monte Cristo"
9,it took 130 years for the human population to double from 1 billion to 2 billion,No answer,"['The episode number is 130.', 'Timeline of evolution is given.', ""98% of Earth's population suddenly disappeared one day."", 'Rebuild humanity in space.', 'Mammals appeared about 200 million years ago.', 'This number is almost 10 million more than its predecessor.', 'The running time of the second film is 119 minutes.', 'The population increased by 455,000 in 2013.', 'Real GDP in the US rose 150 percent during 1980–2014.', 'The world population is 7,618,511,000 as of 1960']",No answer
