,question,answer,contexts,ground_truth
0,all the motor neurons that control the skeletal muscles are,"All the motor neurons that control the skeletal muscles are somatic motor neurons, including alpha, beta, and gamma efferent neurons. These neurons originate in the central nervous system and project their axons to skeletal muscles. Source: Context document.","['There are two types of motor neurons that control skeletal muscles: \n1. Somatic motor neurons, which originate in the central nervous system and project their axons to skeletal muscles.\n2. Alpha, beta, and gamma efferent neurons, which are subtypes of somatic motor neurons specifically involved in controlling skeletal muscles.', 'Motor neurons control skeletal muscles through direct connections, where a single motor neuron (somatic motor neuron) synapses onto the muscle. This is known as a monosynaptic pathway. Source: Context document.']",Somatic
1,where are the coastal plains located in india,"The coastal plains in India are located between the Eastern Ghats and the Bay of Bengal, extending from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha.","['The coastal plains in India include the Eastern Coastal Plains, which extends from Tamil Nadu in the south to West Bengal in the north, passing through Andhra Pradesh and Odisha. Locally, it is known as Utkal Plains in the northern part, Northern Circars in the central part, and Coromandel Coast in the southern part. Chilka Lake is a notable feature along this coastline in Odisha.', 'The coastal plains in India are located between the Eastern Ghats and the Bay of Bengal, stretching from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha. They are locally known as Utkal Plains in the northern part, Northern Circars in the central part, and Coromandel Coast in the southern part.']",between the Eastern Ghats and the Bay of Bengal
2,where is this years army navy game played,This year's Army-Navy game is played in Philadelphia.,"['The next meeting of the Army–Navy Game is scheduled for December 8, 2018.', 'The Army Navy game is typically played in Philadelphia.']",Lincoln Financial Field in Philadelphia
3,who has the talismans in sailor moon s,"In ""Sailor Moon S,"" Sailor Uranus and Sailor Neptune possess the talismans.","['In ""Sailor Moon S,"" the characters with talismans are Sailor Uranus and Sailor Neptune. They attempt to steal Usagi\'s pure heart crystal to claim the talisman.', ""In Sailor Moon S, the Talismans refer to the symbols or objects associated with the Sailor Guardians, particularly Sailor Saturn's Garnet Orb, which resonates with Sailor Uranus and Neptune's talismans during a crucial moment in the storyline.""]",Haruka and Michiru
4,which five year plan was affected by indo pak indo china war,The Third Five-Year Plan (1961–1966) was affected by the Indo-China war.,"['The Third Five-Year Plan (1961–1966) was affected by the Indo-Pak war.', 'The Indo-Pak war referred to here is the Indo-Pakistani war of 1971, where India won a clear victory resulting in the liberation of Bangladesh. No answer regarding the specific conflict between India and Pakistan in 1965.', 'The Indo-China war exposed weaknesses in the economy and shifted the focus towards defense industry and the Indian Army during the Third Five-Year Plan (1961–1966). This shift affected priorities and led to changes in economic strategies.']",The Third Five-year Plan
5,what is the 3rd largest state in usa,Texas is the third largest state in the USA.,"['There is no specific criterion or formula provided in the given context for determining the size of a state in the USA.', ""The size of a state in the USA is determined by its total area, which includes both land and water areas. Alaska is the largest state by total area, followed by Texas. Each state's size is measured in square miles or kilometers squared. (Source: List of U.S. states and territories by area - Wikipedia)"", 'The third largest state in the USA is Texas.']",Alaska
6,what is the first step in the evolution of the eye,The first step in the evolution of the eye was a patch of photoreceptors coated with pigment. [7],"['Based on the provided context, the stages in the evolution of the eye include:\n\n1. A patch of photoreceptors coated with pigment.\n2. An optic nerve coated with pigment but without any other mechanism.\n3. Intermediate steps leading to more advanced structures.\n4. A moderately high stage of perfection.\n\nThese stages were proposed by biologist D.E. Nilsson and supported by various researchers using the fossil record and genetic mechanisms.', ""The first stage in the evolution of the eye was a patch of photoreceptors coated with pigment, without any other mechanism. This is supported by biologist D.E. Nilsson's theories and research. [7]""]",photoreceptor proteins that sense light
7,who won the oscar for best picture in 1976,"""All the President's Men"" won the Oscar for Best Picture in 1976.","['An international jury composed of a President and various film or art personalities selects the Oscar winners for Best Picture.', 'The Oscars use the entire Academy membership to vote for the Best Picture winner. If there are sixteen or more films submitted, the winner is chosen from a shortlist of five films; otherwise, there is a shortlist of three films. Eight eligible animated features must have been theatrically released in Los Angeles County within the calendar year for this category to be activated. (Source: Context)', 'The movie that won the Oscar for Best Picture in 1976 was ""All the President\'s Men."" [No specific citation provided in the given context]']",Rocky
8,who dies in season 6 of once upon a time,"Neal Cassidy, Jefferson (Mad Hatter), Robin Hood, Mr. Gold (Rumplestiltskin), Mary Margaret/Mary (Snow White), David Nolan/Charming (Prince Charming), Belle, Hook (Captain Killian Jones), Regina Mills/Zelena, Cruella De Vil, Ursula, Elsa, Aurora/Knave of Hearts, Mulan, Captain Hook’s crew members, King George, Blackbeard, Pan, Cora, Ariel, Tamara, August W. Booth, Jiminy Cricket, Pinocchio, Anastasia, Lumiere, Maurice, Alice, Maleficent, The Queen of Hearts, Blue Fairy, Rumplestiltskin’s father, Sir John, Merida, Tinker Bell, Grumpy, Archie Hopper, Dr. Whale, Madame Leota, Sheriff Graham, and Storybrooke residents (except Henry, Emma, and Mary Margaret) die in season 6 of Once Upon a Time.","[""The main characters in season 6 of Once Upon a Time are Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Josh Dallas, Emilie de Ravin, Colin O'Donoghue, Jared S. Gilmore, Rebecca Mader, Robert Carlyle, and Andrew J. West."", ""Characters who die in Season 6 of Once Upon a Time are:\n- Neal Cassidy (played by Michael Raymond-James)[1][2]\n- Jefferson (Mad Hatter) (played by Sebastian Stan)[3]\n- Robin Hood (played by Sean Maher)[4]\n- Mr. Gold (Rumplestiltskin) (played by Robert Carlyle)[5]\n- Mary Margaret/Mary (Snow White) (played by Ginnifer Goodwin)[6]\n- David Nolan/Charming (Prince Charming) (played by Josh Dallas)[7]\n- Belle (Emilie de Ravin)[8]\n- Hook (Captain Killian Jones) (played by Colin O'Donoghue)[9]\n- Regina Mills/Zelena (played by Lana Parrilla)[10]\n- Cruella De Vil (played by Kelly Overton)[11]\n- Ursula (played by Tina Majorino)[12]\n- Elsa (played by Sarah Bolger)[13]\n- Aurora/Knave of Hearts (played by Rachel Shelley)[14]\n- Mulan (Kristin Bauer van Straten)[15]\n- Captain Hook’s crew members (including Smee) [16]\n- King George (Tony Amendola)[17]\n- Blackbeard (Andy Dwyer)[18]\n- Pan (Robbie Kay)[19]\n- Cora (Barbara Hershey)[20]\n- Ariel (Cynthia Watros)[21]\n- Tamara (Sonequa Martin-Green)[22]\n- August W. Booth (Eion Bailey)[23]\n- Jiminy Cricket (Raphael Alejandro)[24]\n- Pinocchio (Nathan Fillion)[25]\n- Anastasia (Amanda Fuller)[26]\n- Lumiere (Warren Christie)[27]\n- Maurice (Brent Spiner)[28]\n- Alice (Lewis MacDougall)[29]\n- Maleficent (Angela Cartwright)[30]\n- The Queen of Hearts (Miranda Raison)[31]\n- Blue Fairy (Elizabeth Mitchell)[32]\n- Rumplestiltskin’s father (James Callis)[33]\n- Sir John (John Rhys-Davies)[34]\n- Merida (Kelly Macdonald)[35]\n- Tinker Bell (Juliet Landau)[36]\n- Grumpy (Sean Astin)[37]\n- Archie Hopper (David Anders)[38]\n- Dr. Whale (Andy Dick)[39]\n- Madame Leota (Alice Krige)[40]\n- Sheriff Graham (Jamie Dornan)[41]\n- Storybrooke residents (except Henry, Emma, and Mary Margaret)[42]\n\n[1-42]""]","Edmond Dantes, The Count of Monte Cristo"
9,it took 130 years for the human population to double from 1 billion to 2 billion,"Yes, it took approximately 130 years for the human population to double from 1 billion to 2 billion. This doubling occurred due to improved sanitation, medical advances, and increased agricultural productivity. (Source: [5])","['The key factors contributing to the increase in human population from 1 billion to 2 billion include improved sanitation and medical advances leading to reduced mortality rates, and increased agricultural productivity due to the Green Revolution. (Source: [5])', 'The average annual growth rate of the human population varied significantly over time. Between 1955 and 1975, the global population increased above 1.8% per year, peaking to 2.06% between 1965 and 1970. However, by 2010-2015, the growth rate had declined to 1.18%. No specific average annual growth rate for the entire period is provided in the context.', 'Significant events influencing population growth include the end of the Great Famine (1315–17) and the Black Death (1350), leading to a near 370 million population; the peak global population growth rates between 1955 and 1975; and the subsequent decline in growth rates post-1970 due to improvements in sanitation, medical advancements, and agricultural productivity. (Sources: [2], [3], [5])']",No answer
